ID,V2017,V2022
264,"Applicable subheadings, in
particular in headings 84.13,
84.14, 84.15, 84.17, 84.18,
84.19, 84.21, 84.22, 84.23,
84.24, 84.31, 84.36, 84.38,
84.41, 84.43, 84.48, 84.50,
84.51, 84.52, 84.66, 84.73,
84.75, 84.76, 84.77, 84.78,
84.79, 84.86, 85.03, 85.04,
85.08, 85.09, 85.10, 85.12,
  85.14, 85.16, 85.17, 85.18,
  85.22, 85.29, 85.30, 85.31,
  85.38, 85.43, 85.48, 86.07,
  87.08, 87.14, 87.16, 88.03,
  88.05, 90.05, 90.06, 90.07,
  90.08, 90.10, 90.11, 90.12,
  90.13, 90.14, 90.15, 90.17,
  90.18, 90.19, 90.20, 90.21,
  90.22, 90.23, 90.24, 90.25,
  90.26, 90.27, 90.28, 90.29,
  90.30, 90.31, 90.32, 90.33,
95.03, 95.04, 95.05 and 95.06.
","ex8524.12
ex8524.19
ex8524.91
ex8524.92
ex8524.99
"
265,                8525.80," 8525.81
 8525.82
 8525.83
 8525.89
ex8806.21
ex8806.22
ex8806.23
ex8806.24
ex8806.29
ex8806.91
ex8806.92
ex8806.93
ex8806.94
ex8806.99"
266,"   Applicable subheadings in
 particular in headings 84.13,
  84.14, 84.15, 84.17, 84.18,
  84.19, 84.21, 84.22, 84.23,
  84.24, 84.31, 84.36, 84.38,
  84.41, 84.43, 84.48, 84.50,
  84.51, 84.52, 84.66, 84.73,
  84.75, 84.76, 84.77, 84.78,
  84.79, 84.86, 85.03, 85.04,
  85.08, 85.09, 85.10, 85.12,
  85.14, 85.16, 85.17, 85.18,
  85.22, 85.29, 85.30, 85.31,
  85.38, 85.43, 85.48, 86.07,
  87.08, 87.14, 87.16, 88.03,
  88.05, 90.05, 90.06, 90.07,
  90.08, 90.10, 90.11, 90.12,
  90.13, 90.14, 90.15, 90.17,
  90.18, 90.19, 90.20, 90.21,
  90.22, 90.23, 90.24, 90.25,
  90.26, 90.27, 90.28, 90.29,
  90.30, 90.31, 90.32, 90.33,
95.03, 95.04, 95.05 and 95.06", 8529.90
267,               8539.50, 8539.52
268,               8539.90,"ex8539.51
 8539.90"
269,               8541.40," 8541.41
 8541.42
 8541.43
 8541.49"
270,"   Applicable subheadings, in
  particular in headings 84.22,
   84.31, 84.43, 84.50, 84.66,
   84.73, 84.76, 85.04, 85.17,
   85.18, 85.22, 85.29, 85.30,
   85.31, 85.35, 85.36, 85.37,
   85.38, 85.43, 85.48, 90.25,
   90.26, 90.30, 90.31, 90.32,
 90.33, 93.05, 93.06 and 95.04

"," 8541.51  
8541.59"
271,               8543.70,"ex8539.51
 8543.40
 8543.70"
272,               8543.90,"ex8539.90
 8543.90"
273,               8548.10," 8549.11
 8549.12
 8549.13
 8549.14
 8549.19"
274,               8548.90, 8548.00
275,"   Applicable subheadings, in
particular in Chapters 38, 70, 71,
       84, 85, 90, 91 and 95
"," 8549.21 
 8549.29
 8549.31
 8549.39
 8549.91
 8549.99"
276,               8701.20," 8701.21
 8701.22
 8701.23
 8701.24
 8701.29"
277,               8704.21," 8704.21
ex8704.41"
278,8704.22," 8704.22
ex8704.42"
279,8704.23," 8704.23
ex8704.43"
280,8704.31," 8704.31
ex8704,51"
281,8704.32," 8704.32
ex8704.52"
282,8704.90,"ex8704.41
ex8704.42
ex8704.43
ex8704.51
ex8704.52
 8704.60
 8704.90"
283,8708.29," 8708.22
 8708.29"
284,8802.11," 8802.11
ex8806.10
ex8806.21
ex8806.22
ex8806.23
ex8806.24
ex8806.29
ex8806.91
ex8806.92
ex8806.93
ex8806.94
ex8806.99"
285,8802.12," 8802.12
ex8806.10
ex8806.29
ex8806.99"
286,8802.20," 8802.20
ex8806.10
ex8806.21
ex8806.22
ex8806.23
ex8806.24
ex8806.29
ex8806.91
ex8806.92
ex8806.93
ex8806.94
ex8806.99"
287,8802.30, 8802.30
288,,"ex8806.10
ex8806.29
ex8806.99"
289,8802.40," 8802.40
ex8806.10
ex8806.29
ex8806.99"
290,8803.10, 8807.10
291,8803.20, 8807.20
292,8803.30, 8807.30
293,8803.90, 8807.90
294,8903.10," 8903.11
 8903.12
 8903.19"
295,8903.91," 8903.21
 8903.22
 8903.23"
296,8903.92," 8903.31
 8903.32
 8903.33"
297,8903.99," 8903.93
 8903.99"
298,9006.51,"ex9006.53
ex9006.59"
299,9006.52,ex9006.59
300,9006.53,ex9006.53
301,9006.59,ex9006.59
302,9018.90," 9018.90
ex9022.21
ex9022.29"
303,9021.10,ex9021.10
304,9021.29,ex9021.29
305,9022.21,ex9022.21
306,9022.29,ex9022.29
307,9027.80," 9027.81
 9027.89"
308,9114.10,ex9114.90
309,9401.30," 9401.31
 9401.39"
310,9401.40," 9401.41
 9401.49"
311,9401.90," 9401.91
 9401.99"
312,9403.90," 9403.91
 9403.99"
313,9404.90," 9404.40
 9404.90"
314,9405.10,"ex8539.51
 9405.11
 9405.19"
315,9405.20,"ex8539.51
 9405.21
 9405.29"
316,9405.30,"ex8539.51
 9405.31
 9405.39"
317,9405.40,"ex8539.51
 9405.41
 9405.42
 9405.49"
318,9405.60," 9405.61
 9405.69"
319,9405.99,"ex8539.90
 9405.99"
320,9406.90,"9406.20
9406.90"
321,9508.90,"9508.21
9508.22
9508.23
9508.24
9508.25
9508.26
9508.29
9508.30
9508.40"
322,9701.10,"9701.21
9701.91"
323,9701.90,"9701.22
9701.29
9701.92
9701.99"
324,9702.00,"9702.10
9702.90"
325,9703.00,"9703.10
9703.90"
326,9705.00,"9705.10
9705.21
9705.22
9705.29
9705.31
9705.39"
327,9706.00,"9706.10
9706.90"
